"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price CAD"
"1","1","296-43005-1-ND","LM74610QDGKTQ1","IC SMART DIODE CTLR 8VSSOP","","1","0","4.24000","4.24"
"2","5","1276-1855-1-ND","CL32B226KOJNNNE","CAP CER 22UF 16V X7R 1210","","5","0","0.74000","3.70"
"3","14","749-1742-1-ND","MFU0603FF01000P500","FUSE BOARD MOUNT 1A 32VDC 0603","","14","0","0.28600","4.00"
"4","3","160-1447-1-ND","LTST-C191KRKT","LED RED CLEAR SMD","","3","0","0.15000","0.45"
"5","1","118-SRP1038WA-1R0MCT-ND","SRP1038WA-1R0M","FIXED IND 1UH 25A 3.1 MOHM SMD","","1","0","2.28000","2.28"
"6","1","TC1240AECHCT-ND","TC1240AECHTR","IC REG CHARGE PUMP 2VIN SOT23-6","","1","0","1.71000","1.71"
"7","1","175-MAX77839AEFQ+TCT-ND","MAX77839AEFQ+T","IC REG BUCK BST ADJ 3A 11FC2QFN","","1","0","4.14000","4.14"
"8","1","296-LM51231QRGRRQ1CT-ND","LM51231QRGRRQ1","2.2-MHZ WIDE-VIN, SYNCHRONOUS BO","","1","0","7.50000","7.50"
"9","3","296-28082-1-ND","CSD17505Q5A","MOSFET N-CH 30V 24A/100A 8VSON","","3","0","3.93000","11.79"
"10","1","ESD9B3.3ST5GOSCT-ND","ESD9B3.3ST5G","TVS DIODE 3.3VWM 11.5VC SOD923","","1","0","0.32000","0.32"
"11","2","D5V0L1B2S9-7DICT-ND","D5V0L1B2S9-7","TVS DIODE 5VWM 14VC SOD923","","2","0","0.38000","0.76"
"12","1","490-GRM188Z71C225KE43DCT-ND","GRM188Z71C225KE43D","CAP CER 2.2UF 16V X7R 0603","","1","0","0.25000","0.25"
"13","3","490-GRM188Z71C475KE21DCT-ND","GRM188Z71C475KE21D","CAP CER 4.7UF 16V X7R 0603","","3","0","0.38000","1.14"
"14","3","490-GRM188Z71A106KA73DCT-ND","GRM188Z71A106KA73D","CAP CER 10UF 10V X7R 0603","","3","0","0.36000","1.08"
"15","10","399-15291-1-ND","C0402C101K5RACTU","CAP CER 100PF 50V X7R 0402","","10","0","0.05800","0.58"
"16","10","490-GRM155Z71A105KE01JCT-ND","GRM155Z71A105KE01J","CAP CER 1UF 10V X7R 0402","","10","0","0.07800","0.78"
"17","10","1276-1552-1-ND","CL05B332KB5NNNC","CAP CER 3300PF 50V X7R 0402","","10","0","0.02500","0.25"
"18","10","1276-6720-1-ND","CL05B104KA5NNNC","CAP CER 0.1UF 25V X7R 0402","","10","0","0.02900","0.29"
"19","1","1276-CL05B474KQ5NNNCCT-ND","CL05B474KQ5NNNC","CAP CER 0.47UF 6.3V X7R 0402","","1","0","0.38000","0.38"
"20","10","311-0.0JRCT-ND","RC0402JR-070RL","RES 0 OHM JUMPER 1/16W 0402","","10","0","0.01500","0.15"
"21","10","311-10.0KLRCT-ND","RC0402FR-0710KL","RES 10K OHM 1% 1/16W 0402","","10","0","0.03200","0.32"
"22","1","P75KDCCT-ND","ERA-2AEB753X","RES SMD 75K OHM 0.1% 1/16W 0402","","1","0","0.17000","0.17"
"23","1","P40.2KDCCT-ND","ERA-2AEB4022X","RES SMD 40.2KOHM 0.1% 1/16W 0402","","1","0","0.17000","0.17"
"24","1","P12KDCCT-ND","ERA-2AEB123X","RES SMD 12K OHM 0.1% 1/16W 0402","","1","0","0.17000","0.17"
"25","1","P18KJCT-ND","ERJ-2GEJ183X","RES SMD 18K OHM 5% 1/10W 0402","","1","0","0.15000","0.15"
"26","1","P24.9KDCCT-ND","ERA-2AEB2492X","RES SMD 24.9KOHM 0.1% 1/16W 0402","","1","0","0.17000","0.17"
"27","1","732-74438366010CT-ND","74438366010","FIXED IND 1UH 7.8A 13.1 MOHM SMD","","1","0","2.87000","2.87"
"28","10","P475LCT-ND","ERJ-2RKF4750X","RES SMD 475 OHM 1% 1/10W 0402","","10","0","0.04800","0.48"
"29","7","455-S3B-XH-A-ND","S3B-XH-A","CONN HEADER R/A 3POS 2.5MM","","7","0","0.26000","1.82"
"30","2","455-B2PS-VH-ND","B2PS-VH","CONN HEADER R/A 2POS 3.96MM","","2","0","0.27000","0.54"

